player id,pp
13854,6877.1855
16622,7761.721
18983,10629.785
19048,9987.284
19525,6730.564
21198,647.52106
21201,23.263721
21216,77.86292
21323,215.5843
21342,194.17096
21397,102.95313
21435,905.73126
23326,8570.828
27055,11953.261
28058,26.793102
28064,1283.2812
28085,327.78192
28101,267.22867
39828,12529.353
45430,369.6432
45444,6786.5083
45476,699.7281
45491,1584.2175
45513,2784.1238
48280,226.15266
48349,391.65393
48366,819.55945
48392,1274.3201
48448,1028.2948
53378,8745.298
56917,9301.44
64137,7096.903
65724,7005.4907
67326,7584.5215
70863,10095.332
72979,2475.1072
73054,1734.1157
73086,412.09637
73158,268.46524
73220,492.82983
73343,2165.943
75520,346.37817
75595,5058.9663
75627,1196.3734
75726,150.76195
75779,9.914126
75902,674.0156
83114,7374.9985
84841,12732.211
85491,7095.2188
90652,2593.6191
90724,418.78494
90765,58.20308
90835,2256.9412
91014,907.52716
91192,250.48067
91738,8557.934
98030,6947.8955
106269,10585.857
113005,7276.3667
113032,71.90131
113152,119.16097
113237,1218.3899
113301,417.46472
113428,273.57727
113656,120.707115
117083,62.65125
117226,537.4894
117306,3436.5305
117400,1302.3973
117562,236.7218
117724,516.1391
119039,645.664
119199,315.33807
119319,759.16644
119483,448.36032
119631,896.7934
119749,719.8686
124493,14867.862
125308,7202.0796
126144,11576.315
136054,524.27094
136230,191.1272
136370,184.80453
136460,63.8044
136465,187.911
136608,676.12274
136615,1396.0828
136806,114.04306
136840,2326.1008
136878,24.59283
137059,1664.0538
137257,1034.8217
137441,9384.223
139670,7866.378
140110,94.8707
140186,5053.811
140281,449.38522
140502,755.4925
140674,68.24705
140951,1375.9237
141220,3143.5696
141344,516.72595
141409,2184.1516
141598,444.65292
141819,875.72845
143709,277.2684
143714,1640.4125
143954,1880.4044
143962,6.891771
144041,1263.4672
144050,2387.5176
144248,97.25
144252,1785.839
144464,3276.87
144465,621.9644
144487,2378.349
144611,1802.6522
144619,1113.5481
144671,427.0535
147515,10348.742
147623,6780.827
155860,119.8532
156042,548.99335
156135,1039.2224
156317,2136.2676
156448,63.713444
156667,319.93192
157680,6943.59
157972,6974.7935
161270,8645.245
164156,6783.039
175141,8915.996
177913,8043.87
179788,845.62445
180040,460.80826
180122,357.32358
180142,59.70621
180235,363.47134
180367,171.79468
180401,1159.6113
180425,26.665321
180540,2992.6848
180594,3105.454
180749,651.2686
181038,184.23471
195432,93.93725
195654,1083.5178
195729,1170.7365
195858,77.268745
195946,7195.3887
196073,363.24985
196476,3926.1948
199669,8296.6
200598,6938.812
207967,8002.506
208531,6858.8687
209664,9004.179
213014,8094.989
214187,6657.71
216472,6772.859
230116,7568.1206
234386,6991.406
234788,8157.8926
236031,324.03284
236320,844.6806
236449,662.93994
236561,247.12889
236797,196.9811
237094,1135.9343
240745,7560.702
243917,7664.3477
245276,7390.4155
245298,2101.4092
245630,208.63057
245772,1084.241
245907,922.9095
246182,40.69841
246473,271.55862
247194,7854.1104
251683,12653.368
252148,52.83465
252425,117.713165
252612,83.65941
252789,38.93463
253014,356.87198
253286,1158.4384
256802,11738.175
259972,7064.14
263760,857.0326
264217,669.6399
264464,1766.58
264703,12.023699
264981,387.13937
265359,324.56055
265832,1020.16376
266241,345.10596
266423,184.435
266622,347.85135
266951,1916.6478
267384,23.254732
272230,1330.4126
272604,961.41455
272831,2.032082
273021,51.992516
273263,2840.4714
273556,1383.4043
275309,7673.224
276444,6926.2617
277063,855.60834
277526,220.98277
277741,144.56015
278035,72.3499
278432,775.9895
278867,597.7712
280147,10055.357
284143,168.16917
284539,10.564203
284750,269.219
284905,9252.871
284960,107.92606
285379,348.44153
285711,7124.569
286740,10071.823
288561,41.263527
289060,473.66547
289219,95.78744
289422,1282.0945
289713,38.15532
290054,846.1351
296448,7161.183
300011,6871.15
300321,6833.3784
301440,151.54292
301783,90.92378
302016,342.20605
302262,857.77014
302573,73.58735
302831,447.3971
304520,8138.4688
306737,7147.2666
310395,235.86743
310747,3348.3025
310947,84.04192
311170,102.75469
311416,71.147736
311707,572.4272
315025,275.868
315327,359.04803
315621,586.54803
315822,100.40668
316146,1560.2676
316457,4070.295
316568,75.4573
316953,2806.5466
317201,3005.0808
317399,534.2561
317494,7530.2734
318277,549.8839
319312,7056.971
321562,7934.0605
330252,7081.462
335918,1368.2325
336206,335.39743
336492,33.801056
336727,177.07684
337027,885.10095
337102,6888.1978
337376,227.99513
340490,41.33862
340908,503.75317
341142,164.87437
341458,314.84625
341770,278.7869
342170,500.93594
343865,9380.658
345516,10302.202
